sample_id	geneset	gsva_score
CTRL1	DNA Repair all genes	-0.2412314353747865
CTRL2	DNA Repair all genes	0.3204575972891816
CTRL3	DNA Repair all genes	0.497591239634281
Treated1	DNA Repair all genes	-0.5539135451893014
Treated2	DNA Repair all genes	-0.29519493019756365
Treated3	DNA Repair all genes	-0.06153301957265332
CTRL1	Homologous Recombination	-0.15524920295958966
CTRL2	Homologous Recombination	0.31471236280511367
CTRL3	Homologous Recombination	0.4884847682642002
Treated1	Homologous Recombination	-0.5755654009509353
Treated2	Homologous Recombination	-0.26811591592444883
Treated3	Homologous Recombination	-0.11311102267054743
CTRL1	Mismatch Repair	-0.10109806713239791
CTRL2	Mismatch Repair	0.3033205901566133
CTRL3	Mismatch Repair	0.479652576615878
Treated1	Mismatch Repair	-0.6025009301199379
Treated2	Mismatch Repair	-0.34338307826183256
Treated3	Mismatch Repair	-0.1101760776937547
CTRL1	Base Excision Repair	-0.16551044805481685
CTRL2	Base Excision Repair	0.42986362170120773
CTRL3	Base Excision Repair	0.5610435380988906
Treated1	Base Excision Repair	-0.5806094012323578
Treated2	Base Excision Repair	-0.37801259310094815
Treated3	Base Excision Repair	-0.14582370055801086
CTRL1	Nucleotide Excision Repair	-0.08933750900480919
CTRL2	Nucleotide Excision Repair	0.3564678075879931
CTRL3	Nucleotide Excision Repair	0.4659145819197763
Treated1	Nucleotide Excision Repair	-0.5794196828099535
Treated2	Nucleotide Excision Repair	-0.26946794964338094
Treated3	Nucleotide Excision Repair	0.011052134313584927
CTRL1	Non-homologous End Joining	-0.37394066812842675
CTRL2	Non-homologous End Joining	-0.11518739038614842
CTRL3	Non-homologous End Joining	0.4055393310765043
Treated1	Non-homologous End Joining	-0.42910917017921646
Treated2	Non-homologous End Joining	0.22731836916790749
Treated3	Non-homologous End Joining	0.1741338622961075
