Sample	id	incl	skip	histology
BS_H97S5SQN	SRSF11_70231858-70231975_70228421-70228555_70232267-70232375	0.261	0.739	Midline_HGAT
BS_2A5R9MEJ	SRSF11_70231858-70231975_70228421-70228555_70232267-70232375	0.19	0.81	Midline_HGAT
BS_W60RQAKK	SRSF11_70231858-70231975_70228421-70228555_70232267-70232375	0.103	0.897	Midline_HGAT
BS_GWSJ4Z9H	SRSF11_70231858-70231975_70228421-70228555_70232267-70232375	0.284	0.716	Midline_HGAT
BS_NEVYM2FP	SRSF11_70231858-70231975_70228421-70228555_70232267-70232375	0.1	0.9	Midline_HGAT
BS_EZ3147MX	SRSF11_70231858-70231975_70228421-70228555_70232267-70232375	0.235	0.765	Midline_HGAT
BS_NGSG2KB6	SRSF11_70231858-70231975_70228421-70228555_70232267-70232375	0.114	0.886	Midline_HGAT
BS_X4DD4KSZ	SRSF11_70231858-70231975_70228421-70228555_70232267-70232375	0.124	0.876	Midline_HGAT
BS_VMQMGSJY	SRSF11_70231858-70231975_70228421-70228555_70232267-70232375	0.097	0.903	Midline_HGAT
BS_QNNX91SM	SRSF11_70231858-70231975_70228421-70228555_70232267-70232375	0.066	0.934	Midline_HGAT
BS_C83TK159	SRSF11_70231858-70231975_70228421-70228555_70232267-70232375	0.121	0.879	Midline_HGAT
BS_49BQS7Z6	SRSF11_70231858-70231975_70228421-70228555_70232267-70232375	0.091	0.909	Midline_HGAT
BS_40MP5BWR	SRSF11_70231858-70231975_70228421-70228555_70232267-70232375	0.116	0.884	Midline_HGAT
BS_ZVWE73JZ	SRSF11_70231858-70231975_70228421-70228555_70232267-70232375	0.14	0.86	Midline_HGAT
BS_NNPEC7W1	SRSF11_70231858-70231975_70228421-70228555_70232267-70232375	0.241	0.759	Midline_HGAT
BS_FCDAH728	SRSF11_70231858-70231975_70228421-70228555_70232267-70232375	0.097	0.903	Midline_HGAT
BS_T3DGY9J9	SRSF11_70231858-70231975_70228421-70228555_70232267-70232375	0.106	0.894	Midline_HGAT
BS_399RPKC9	SRSF11_70231858-70231975_70228421-70228555_70232267-70232375	0.124	0.876	Midline_HGAT
BS_Z3RCA1T9	SRSF11_70231858-70231975_70228421-70228555_70232267-70232375	0.163	0.837	Midline_HGAT
BS_M0QYNVK8	SRSF11_70231858-70231975_70228421-70228555_70232267-70232375	0.222	0.778	Midline_HGAT
BS_G3NN392N	SRSF11_70231858-70231975_70228421-70228555_70232267-70232375	0.157	0.843	Midline_HGAT
BS_MN5XVP5A	SRSF11_70231858-70231975_70228421-70228555_70232267-70232375	0.141	0.859	Midline_HGAT
BS_NB9XXBW6	SRSF11_70231858-70231975_70228421-70228555_70232267-70232375	0.239	0.761	Midline_HGAT
BS_KBEX4RT2	SRSF11_70231858-70231975_70228421-70228555_70232267-70232375	0.193	0.807	Midline_HGAT
BS_K17VQECG	SRSF11_70231858-70231975_70228421-70228555_70232267-70232375	0.114	0.886	Midline_HGAT
BS_YDEVMD24	SRSF11_70231858-70231975_70228421-70228555_70232267-70232375	0.214	0.786	Midline_HGAT
BS_PZVHMSYN	SRSF11_70231858-70231975_70228421-70228555_70232267-70232375	0.063	0.937	Midline_HGAT
BS_7GJT4A6A	SRSF11_70231858-70231975_70228421-70228555_70232267-70232375	0.021	0.979	Midline_HGAT
